sid,name,reference
56585,"MALWARE-TOOLS GhostPack Rubeus kerberos request attempt","github.com/fireeye/red_team_tool_countermeasures
www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56584,"MALWARE-TOOLS GhostPack Rubeus kerberos request attempt","github.com/fireeye/red_team_tool_countermeasures
www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56583,"MALWARE-TOOLS GhostPack Rubeus kerberos request attempt","github.com/fireeye/red_team_tool_countermeasures
www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56582,"MALWARE-TOOLS GhostPack Rubeus kerberos request attempt","github.com/fireeye/red_team_tool_countermeasures
www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56581,"MALWARE-TOOLS GhostPack Rubeus kerberos request attempt","github.com/fireeye/red_team_tool_countermeasures
www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56611,"MALWARE-OTHER Cobalt Strike beacon outbound connection attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56610,"MALWARE-OTHER Cobalt Strike beacon outbound connection attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56609,"MALWARE-OTHER Cobalt Strike beacon outbound connection attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56608,"MALWARE-OTHER Cobalt Strike beacon inbound connection attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56617,"MALWARE-CNC Cobalt Strike beacon inbound connection attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56616,"MALWARE-CNC Cobalt Strike beacon outbound connection attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56615,"MALWARE-CNC Cobalt Strike beacon outbound connection attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56613,"MALWARE-CNC Rat.Tool.FeyeYelp variant outbound beacon attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56612,"MALWARE-CNC Rat.Tool.FeyeYelp variant outbound beacon attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56607,"MALWARE-CNC potential Rat.Tool.CSBundleUSAToday connectivity check","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56606,"MALWARE-CNC Rat.Tool.CSBundleUSATodayServer variant inbound command attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56605,"MALWARE-CNC Rat.Tool.CSBundleUSATodayServer variant inbound command attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56603,"MALWARE-CNC Win.Backdoor.CSBundle_Original outbound connection attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56602,"MALWARE-CNC Win.Backdoor.CSBundle_Original Server 3 inbound beacon attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56601,"MALWARE-CNC Win.Backdoor.CSBundle_Original Stager 2 download attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56600,"MALWARE-CNC Win.Backdoor.CSBundle_Original outbound connection attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56599,"MALWARE-CNC Win.Backdoor.CSBundle_Original stager outbound connection attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56598,"MALWARE-CNC Win.Backdoor.CSBundle_Original inbound connection attempt","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56597,"MALWARE-CNC MultiOS.Malware.GORAT outbound communications attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56596,"MALWARE-CNC MultiOS.Malware.GORAT outbound communications attempt","fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56593,"MALWARE-CNC Cobalt Strike DNS beacon inbound TXT record","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
56592,"MALWARE-CNC Cobalt Strike DNS beacon inbound TXT record","www.fireeye.com/blog/threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html"
