vendor,engine,id,name
Checkpoint,IPS,"asm_dynamic_prop_CVE_2019_19781","Citrix Multiple Products Directory Traversal (CVE-2019-19781)"
Checkpoint,IPS,"asm_dynamic_prop_CVE_2019_19781","Citrix Multiple Products Directory Traversal (CVE-2019-19781)"
Checkpoint,TP,0F16F435A,"Generic.Win32.Generic.TC.ipc"
Checkpoint,IPS,"asm_dynamic_prop_DIR_TRAV_URL","Web Servers Malicious URL Directory Traversal"
Checkpoint,IPS,"asm_dynamic_prop_CVE_2018_13379","Fortinet FortiOS SSL VPN Directory Traversal (CVE-2018-13379)"
Checkpoint,IPS,"asm_dynamic_prop_CVE_2019_11510","Pulse Connect Secure File Disclosure (CVE-2019-11510)"
Checkpoint,IPS,"asm_dynamic_prop_CVE_2020_10189","Zoho ManageEngine Remote Code Execution (CVE-2020-10189)"
Fortigate,VIRUS,7512603,"Riskware/Generic_PUA_BG"
Fortigate,IPS,47918,"applications3: MS.SharePoint.CVE-2019-0604.Remote.Code.Execution"
Fortigate,IPS,48765,"applications3: MS.Exchange.Validation.Key.ViewState.Remote.Code.Execution"
Fortigate,IPS,48342,"applications3: Pulse.Secure.SSL.VPN.HTML5.Information.Disclosure"
Fortigate,IPS,48321,"applications3: FortiOS.SSL.VPN.Web.Portal.Pathname.Information.Disclosure"
Fortigate,IPS,47983,"applications3: Confluence.downloadallattachments.Resource.Path.Traversal"
Fortigate,IPS,48653,"applications3: Citrix.Application.Delivery.Controller.VPNs.Directory.Traversal"
Fortigate,IPS,48653,"applications3: Citrix.Application.Delivery.Controller.VPNs.Directory.Traversal"
Fortiweb,WAF,090501065,"Known Exploits"
Fortiweb,WAF,090501069,"Known Exploits"
Fortiweb,WAF,050180003,"Generic Attacks"
Fortiweb,WAF,050180003,"Generic Attacks"
Fortiweb,WAF,090501108,"Known Exploits"
Fortiweb,WAF,090501033,"Known Exploits"
Fortiweb,WAF,090501033,"Known Exploits"
Snort,IPS,"1.53347.2","SERVER-WEBAPP Microsoft Exchange Control Panel remote code execution attempt"
